pdbcode,resolution,year,pK,comment
1p1q,2.00,2003,4.89,(AMQ)
2aoc,1.30,2006,4.89,(2NC)
2j77,2.10,2006,4.89,(NOJ)
2vo5,2.30,2008,4.89,(VBZ)
3d4z,1.39,2008,4.89,(GIM)
3juk,2.30,2010,4.89,(UPG)
3m8u,1.85,2010,4.89,(GDS)
4l9i,2.32,2014,4.89,(8PR)
4pnu,1.90,2014,4.89,(2VD)
5hbn,1.60,2016,4.89,(RPI)
5ii2,2.10,2016,4.89,(LU2)
5ipc,1.30,2017,4.89,(6CE)
5j7w,2.50,2016,4.89,(MTX)
5l3a,1.98,2016,4.89,(6DP)
5o9o,1.90,2018,4.89,(9PB)
5oha,1.55,2018,4.89,(9UW)
5z7b,2.10,2018,4.89,(VNL)
6i5g,2.00,2019,4.89,(PTG)
6jdl,2.25,2019,4.89,(AGS)
6qrc,1.73,2019,4.89,(JFE)
3cf8,2.40,2008,4.90,(QUE)
1km3,1.50,2002,4.91,(UP6)
5l8a,1.57,2017,4.91,(6RB)
6dgr,2.15,2019,4.91,(GDY)
1bzc,2.35,1999,4.92,(TPI)
1e1v,1.95,2001,4.92,(CMG)
1jqy,2.14,2002,4.92,(A32)
2haw,1.75,2006,4.92,(2PN)
3eax,1.90,2009,4.92,(LZP)
3rv8,2.29,2012,4.92,(RVC/VCE)
4j47,1.35,2013,4.92,(4-mer)
5d3t,1.93,2016,4.92,(56Y)
5evk,1.63,2016,4.92,(3C7)
5otr,1.52,2018,4.92,(AU8)
6dq4,1.39,2018,4.92,(K0I)
6j0o,1.80,2019,4.92,(XAF)
6pg9,1.75,2019,4.92,(OH1)
6qqv,1.71,2019,4.92,(JEW)
6r11,1.75,2019,4.92,(JOB)
6r18,1.35,2019,4.92,(JOQ)
3uxk,2.20,2012,4.93,(BHO)
4ido,2.09,2013,4.93,(GDP)
1e2k,1.70,2000,4.94,(TMC)
2gss,1.90,1997,4.94,(EAA)
2vo4,1.75,2008,4.94,(4NM)
2vpe,1.70,2008,4.94,(9-mer)
4dmw,2.50,2012,4.94,(UDP)
4ts1,2.50,1989,4.94,(TYR)
6hmg,1.27,2018,4.94,(2-mer)
1jn4,1.80,2003,4.95,(139)
2x95,1.96,2010,4.95,(X95)
4bup,2.17,2013,4.95,(SAM)
5yz2,1.75,2018,4.95,(AMP)
1dar,2.40,1996,4.96,(GDP)
1elr,1.90,2000,4.96,(6-mer)
1o5g,1.75,2004,4.96,(CR9)
1tsy,2.20,1996,4.96,(UMP)
1uz8,1.80,2004,4.96,(3-mer)
2vjx,1.85,2008,4.96,(IFL)
2w67,2.25,2009,4.96,(F34)
3bxg,1.80,2008,4.96,(BG6)
3veh,2.00,2012,4.96,(0GA)
3zsq,1.70,2012,4.96,(O4N)
4jsa,1.50,2013,4.96,(FB2)
4rlt,2.05,2015,4.96,(FSE)
5ioz,2.02,2017,4.96,(6C4)
6gjw,1.90,2019,4.96,(F2H)
6pg5,1.99,2019,4.96,(OHV)
6pia,1.75,2019,4.96,(XS6)
6r0v,1.60,2019,4.96,(JO2)
3qbc,1.65,2012,4.97,(B55)
4e3g,1.55,2012,4.97,(PHB)
4in9,1.55,2013,4.97,(4-mer)
6arm,1.50,2018,4.97,(145)
2w47,1.40,2009,4.98,(UNF)
4re2,2.00,2015,4.98,(MVL)
6jof,2.20,2019,4.98,(BWR)
4w9d,2.20,2014,4.99,(3JK)
5gj9,2.10,2017,4.99,(VGL)
6gnw,1.75,2018,4.99,(F52)
6p85,1.90,2019,4.99,(O4V)
1c84,2.35,2000,5.00,(761)
1hlk,2.50,2001,5.00,(113)
1nc3,2.20,2003,5.00,(FMC)
1o35,1.41,2003,5.00,(802)
1ql7,2.10,2000,5.00,(ZEN)
2oiq,2.07,2007,5.00,(STI)
2oym,1.86,2007,5.00,(MNI)
2vxn,0.82,2009,5.00,(PGH)
3cfn,1.87,2009,5.00,(2AN)
3gbe,1.70,2009,5.00,(NOJ)
3k02,1.55,2010,5.00,(TXT)
3p9m,2.00,2011,5.00,(8-mer)
4czs,1.73,2015,5.00,(5-mer)
4u6c,1.91,2015,5.00,(Q06)
4xoe,2.40,2016,5.00,(KGM)
4xxh,2.40,2015,5.00,(T6P)
5evb,1.84,2016,5.00,(3R9)
5evd,1.80,2016,5.00,(VC2)
5itp,1.85,2016,5.00,(6DB)
5x54,2.30,2017,5.00,(5-mer)
5yft,2.21,2018,5.00,(RI2)
1ppi,2.20,1995,5.01,(4-mer)
2glp,2.42,2007,5.01,(BDE)
4agq,1.42,2012,5.01,(P96)
5oa2,2.15,2018,5.01,(9PW)
6g2e,1.85,2019,5.01,(EHH)
6p89,1.40,2019,5.01,(O4A)
2d0k,1.90,2006,5.02,(FOL)
2xbp,1.20,2010,5.02,(ATP)
3bgc,1.80,2008,5.02,(LJH)
3usx,2.28,2012,5.02,(MYR)
4u70,1.60,2015,5.02,(Q04)
4w9l,2.20,2014,5.02,(3JJ)
6hgf,1.65,2019,5.02,(HCY)
1i1e,2.50,2001,5.03,(DM2)
4io5,1.72,2013,5.03,(ALA)
4np9,1.92,2013,5.03,(I3P)
5mrm,1.80,2017,5.03,(Q9T)
5n3y,1.34,2017,5.03,(8L2)
1mfa,1.70,1994,5.04,(3-mer)
3tz0,2.50,2012,5.04,(03H)
4jym,1.35,2013,5.04,(KKN)
4lk7,1.76,2013,5.04,(2-mer)
5d3n,2.15,2016,5.04,(L40)
5f25,1.68,2016,5.04,(5TU)
5lyn,2.00,2017,5.04,(7-mer)
5ovp,1.50,2018,5.04,(7-mer)
6ajv,1.45,2019,5.04,(HCC)
6j7e,2.40,2019,5.04,(AGS)
1dgm,1.80,2000,5.05,(ADN)
1fkw,2.40,1996,5.05,(PUR)
1qxk,2.30,2003,5.05,(429)
3aau,1.80,2010,5.05,(GZC)
3s76,1.60,2011,5.05,(EVH)
4euo,1.28,2012,5.05,(ABU)
4oct,2.28,2014,5.05,(AKG)
4rqv,1.50,2014,5.05,(R2S)
4yzu,1.41,2015,5.05,(4K6)
5i3a,2.20,2016,5.05,(HQE)
6d50,2.50,2018,5.05,(GCB)
6exi,1.92,2018,5.05,(ADN)
6kjd,2.30,2019,5.05,(LVA)
6mlg,1.89,2019,5.05,(ARG)
2v77,1.60,2008,5.06,(PAY)
2yge,1.96,2011,5.06,(GDM)
3f68,1.75,2009,5.06,(91U)
4h7q,2.10,2013,5.06,(COI)
5a2i,1.88,2015,5.06,(6-mer)
5c1w,1.70,2015,5.06,(4XS)
6qlo,1.18,2019,5.06,(J5E)
2c3l,2.35,2005,5.07,(IDZ)
2xm1,2.00,2011,5.07,(LTM)
2yfa,1.80,2012,5.07,(LMR)
3juo,2.20,2009,5.07,(AJD)
5hwv,1.65,2016,5.07,(MBN)
5u12,1.84,2017,5.07,(5RU)
6j9y,1.63,2019,5.07,(MAL)
6jtc,2.39,2019,5.07,(C8O)
6n0k,1.46,2019,5.07,(K8M)
6qr1,1.67,2019,5.07,(JFT)
6r4k,2.13,2019,5.07,(JSK)
1enu,1.95,2000,5.08,(APZ)
1gfy,2.13,2000,5.08,(COL)
2qtg,1.84,2008,5.08,(MTH)
3tb6,2.21,2012,5.08,(ARB)
4oiv,1.70,2015,5.08,(XX9)
5n2t,1.38,2017,5.08,(8KK)
6d16,1.40,2019,5.08,(FUJ)
1m48,1.95,2002,5.09,(FRG)
1nw7,2.10,2003,5.09,(SAH)
2ygf,2.00,2011,5.09,(GDM)
5fhm,1.55,2016,5.09,(5XP)
5o9p,1.75,2018,5.09,(9P8)
6n3x,1.10,2019,5.09,(KBD)
1ez9,1.90,2002,5.10,(4-mer)
1kmy,2.00,2002,5.10,(BPY)
1od8,1.05,2003,5.10,(XDL-XYP)
1onz,2.40,2003,5.10,(968)
1v0k,1.03,2004,5.10,(XDN-XYP)
1w7g,1.65,2006,5.10,(MIU)
2r9w,1.80,2008,5.10,(23C)
3gy4,1.55,2010,5.10,(PBZ)
3p4v,2.00,2011,5.10,(PMX)
4dcs,2.25,2012,5.10,(GDP)
5d3h,1.70,2016,5.10,(57G)
6ce6,1.60,2018,5.10,(EYP)
6md6,1.68,2019,5.10,(JSV)
6s56,2.01,2019,5.10,(KVZ)
6s57,1.82,2019,5.10,(KVT)
1k4h,1.80,2002,5.11,(APQ)
1yp9,2.10,2006,5.11,(UIZ)
3k4d,2.39,2010,5.11,(EVA)
3ozj,2.10,2011,5.11,(BGV)
4qfl,1.75,2015,5.11,(2-mer)
5kej,2.35,2017,5.11,(GTX)
5u0e,1.27,2017,5.11,(7R4)
6jdi,1.95,2019,5.11,(AGS)
1qaw,2.50,1999,5.12,(TRP)
1uv6,2.50,2004,5.12,(CCE)
2web,1.50,1998,5.12,(PP4)
3zso,1.75,2012,5.12,(O2N)
4f1l,1.90,2012,5.12,(0RY)
4h81,2.05,2013,5.12,(WJ2)
5f74,2.35,2016,5.12,(AMP)
6i13,1.79,2019,5.12,(H0Q)
6n95,1.80,2019,5.12,(YXS)
6qe5,1.61,2019,5.12,(SAH)
3s9e,1.60,2011,5.13,(GLU)
5d3p,1.95,2016,5.13,(57E)
6f9u,1.90,2018,5.13,(D0W)
6j9w,1.80,2019,5.13,(TRE)
6st0,1.50,2019,5.13,(LUQ)
1y3x,1.70,2005,5.14,(UIB)
2br1,2.00,2005,5.14,(PFP)
2yaz,2.40,2011,5.14,(UMP)
3tao,1.45,2011,5.14,(PGH)
4ejl,2.44,2013,5.14,(IOP)
5kva,1.83,2016,5.14,(SAM)
6dak,1.60,2018,5.14,(G1Y)
1jcx,1.80,2002,5.15,(PAI)
1jvu,1.78,2002,5.15,(C2P)
1o0m,1.50,2003,5.15,(U2P)
1pb8,1.45,2003,5.15,(DSN)
1qk3,1.65,1999,5.15,(5GP)
1s38,1.81,2004,5.15,(MAQ)
1thz,1.80,2004,5.15,(326)
2afx,1.64,2005,5.15,(1BN)
3ozr,1.73,2011,5.15,(OZR)
4h85,2.10,2013,5.15,(HRI)
4jpx,1.55,2013,5.15,(PHE)
4qrh,1.65,2015,5.15,(0O2)
6aro,1.20,2018,5.15,(BS7)
6nu5,1.60,2019,5.15,(CYS)
3b27,1.50,2011,5.16,(B2T)
5ufc,1.89,2017,5.16,(3-mer)
6mjf,2.20,2018,5.16,(SAH)
6om8,2.45,2019,5.16,(UDX)
2zfp,2.25,2008,5.17,(19U)
3b7j,2.40,2008,5.17,(JUG)
4gkm,1.67,2013,5.17,(683)
5ahw,2.15,2015,5.17,(CMP)
5aut,1.70,2015,5.17,(2AN)
5ohy,1.77,2018,5.17,(9VH)
6cbf,2.30,2018,5.17,(EWD)
6g2f,1.74,2019,5.17,(EHW)
6qqq,1.85,2019,5.17,(JDE)
1ft7,2.20,2000,5.18,(PLU)
3w37,1.70,2013,5.18,(ACR)
4duh,1.50,2012,5.18,(RLI)
4iif,2.45,2013,5.18,(CTS)
4u73,1.80,2015,5.18,(Q02)
1ocq,1.08,2003,5.19,(IFM-BGC)
1ogg,1.97,2004,5.19,(3-mer)
1oxr,1.93,2004,5.19,(AIN)
1rnt,1.90,1987,5.19,(2GP)
2qdt,2.00,2007,5.19,(I38)
4ezz,2.05,2013,5.19,(7-mer)
5otz,1.46,2018,5.19,(AUT)
6arn,1.25,2018,5.19,(BQY)
3ov1,1.60,2011,5.20,(5-mer)
3uu1,1.82,2012,5.20,(14B)
4a6s,2.15,2012,5.20,(GS9)
4ezr,1.90,2013,5.20,(8-mer)
1nw5,2.05,2003,5.21,(SAM)
1o2r,1.45,2003,5.21,(CR9)
4cwo,2.31,2014,5.21,(T62)
4few,1.98,2012,5.21,(PP2)
4je8,2.40,2014,5.21,(3-mer)
4m0r,1.96,2014,5.21,(644)
5o9q,1.40,2018,5.21,(9PH)
5ty9,1.53,2017,5.21,(7QV)
5zyg,1.80,2019,5.21,(9N3)
6iht,1.57,2019,5.21,(3-mer)
6t1m,1.85,2019,5.21,(M8K)
1bq4,2.50,1998,5.22,(BHC)
1j17,2.00,2002,5.22,(ZEN)
1o5c,1.63,2004,5.22,(CR9)
1ucn,2.00,2003,5.22,(ADP)
1w4o,1.60,2005,5.22,(UA3)
1zea,1.78,2006,5.22,(9-mer)
2gz2,2.10,2006,5.22,(A2P)
2hxm,1.30,2006,5.22,(302)
2wzm,1.64,2010,5.22,(NA7)
2zxd,2.15,2009,5.22,(ZXD)
3dne,2.00,2009,5.22,(LL1)
3iof,1.44,2010,5.22,(IFS)
3lq2,1.96,2010,5.22,(TDP)
3ms9,1.80,2010,5.22,(MS9)
3n1c,2.00,2010,5.22,(F6P)
3ppp,2.40,2011,5.22,(BET)
3q71,2.20,2011,5.22,(AR6)
3qxt,1.70,2011,5.22,(MTX)
4lrr,2.41,2013,5.22,(CF9)
4u71,1.80,2015,5.22,(Q03)
5ev8,2.30,2016,5.22,(3R9)
5ja0,1.90,2017,5.22,(FPP)
1b4z,1.75,1999,5.23,(3-mer)
1ndw,2.00,2003,5.23,(FR2)
2q38,1.95,2007,5.23,(LSA)
6bhv,2.30,2018,5.23,(DQV)
6jam,1.63,2019,5.23,(TRE)
6pu3,1.80,2019,5.23,(4-mer)
1fh7,1.82,2000,5.24,(2-mer)
1q8w,2.20,2003,5.24,(M77)
1s89,2.22,2004,5.24,(PGA)
2jfz,1.86,2007,5.24,(003)
3pb8,1.13,2011,5.24,(AHN)
3ueu,2.10,2011,5.24,(DAO)
4gue,1.80,2013,5.24,(QCT)
4idn,2.25,2013,5.24,(GNP)
4ih7,2.30,2013,5.24,(1ER)
4non,2.50,2014,5.24,(GDP)
4y59,1.22,2015,5.24,(T21)
4zv1,1.52,2016,5.24,(ARG)
5d24,1.65,2016,5.24,(L26)
5d3j,1.70,2016,5.24,(L33)
5edd,1.97,2016,5.24,(DUP)
5w1e,2.06,2017,5.24,(PHB)
6gxg,1.60,2019,5.24,(FFN)
2bfr,2.50,2004,5.25,(ADP)
3r24,2.00,2011,5.25,(SAM)
5b5f,1.20,2017,5.25,(6F3)
5b5g,1.50,2017,5.25,(6FX)
5twj,2.30,2017,5.25,(SAM)
1w4q,1.68,2005,5.26,(UMF)
3n9s,1.85,2010,5.26,(TD4)
4omj,1.60,2015,5.26,(2TX)
5gs9,2.50,2016,5.26,(ARG)
6t1i,1.80,2019,5.26,(M7W)
2x7u,2.12,2010,5.27,(WZA)
3tkw,1.55,2012,5.27,(017)
4jfs,2.00,2013,5.27,(16Z)
5hwu,2.10,2016,5.27,(DUP)
5irr,2.04,2017,5.27,(GSP)
5ltn,1.88,2017,5.27,(XI7)
1b46,1.80,1999,5.28,(3-mer)
1f5l,2.10,2001,5.28,(AMR)
3bbf,1.70,2008,5.28,(GDP)
3o5x,2.00,2010,5.28,(JZG)
4e70,1.61,2013,5.28,(N7I)
4j46,1.42,2013,5.28,(4-mer)
5ect,1.30,2016,5.28,(DUP)
5g5f,2.30,2017,5.28,(GSH)
5xpi,2.20,2018,5.28,(8C3)
6ajy,1.60,2019,5.28,(A0R)
6qlp,1.08,2019,5.28,(J3Q)
1c88,1.80,2000,5.29,(OTA)
2wc4,1.70,2009,5.29,(AMF)
5hrv,1.70,2016,5.29,(64C)
5hrx,1.73,2016,5.29,(64F)
1a69,2.10,1998,5.30,(FMB)
1h6h,1.70,2001,5.30,(PIB)
1o0f,1.50,2003,5.30,(A3P)
1srg,1.80,1994,5.30,(MHB)
2q7q,1.60,2007,5.30,(C2B)
2vk6,1.50,2008,5.30,(DAN)
3p9l,2.00,2011,5.30,(8-mer)
3pgl,2.35,2011,5.30,(RZX)
3upv,1.60,2012,5.30,(7-mer)
5eyr,1.57,2016,5.30,(5T0)
6d2o,1.90,2018,5.30,(4MZ)
6eeb,1.96,2019,5.30,(J6P)
6ml9,1.69,2019,5.30,(ARG)
6qqu,1.59,2019,5.30,(JF8)
6r1w,1.35,2019,5.30,(JPW)
1hk4,2.40,2003,5.31,(T44)
1mfd,2.10,1994,5.31,(3-mer)
4or6,2.29,2015,5.31,(GDP)
4u1b,1.89,2015,5.31,(Q08)
5eij,1.99,2016,5.31,(5OT)
5n2z,1.37,2017,5.31,(8JH)
1lvu,2.05,2003,5.32,(9PP)
1y20,1.40,2005,5.32,(1AC)
4ipi,1.75,2013,5.32,(LMR)
4us3,2.10,2014,5.32,(TRP)
5g1z,1.50,2017,5.32,(U53)
5n17,1.60,2017,5.32,(8FK)
6g0z,2.15,2018,5.32,(GDP)
6h1u,1.68,2018,5.32,(ASP)
2c80,2.30,2006,5.33,(GTX)
3arx,1.16,2011,5.33,(POY)
3ozs,1.44,2011,5.33,(OZS)
3q1x,1.59,2011,5.33,(SER)
6u6w,1.20,2019,5.33,(Q0Y)
1hee,1.75,2001,5.34,(LHY)
1zgi,2.20,2005,5.34,(382)
3hkq,1.70,2009,5.34,(1SD)
3k4q,2.20,2010,5.34,(IHS)
3nee,1.55,2010,5.34,(B72)
5l4m,1.58,2016,5.34,(SBK)
5o9y,1.57,2018,5.34,(9PN)
5u14,1.95,2017,5.34,(7PV)
5wp5,1.50,2017,5.34,(SAH)
1ql9,2.30,2000,5.35,(ZEN)
2fxv,2.05,2006,5.35,(5GP)
2gkl,1.86,2007,5.35,(PD2)
3hkn,1.80,2009,5.35,(MFS)
5u11,1.99,2017,5.35,(7PS)
6ep4,2.30,2017,5.35,(DME)
6of5,2.30,2019,5.35,(MFJ)
6pgc,1.81,2019,5.35,(OJJ)
6qls,1.05,2019,5.35,(HRK)
1adl,1.60,1994,5.36,(ACD)
3bv9,1.80,2008,5.36,(6-mer)
3ldq,1.90,2011,5.36,(3P1)
3mf5,2.00,2010,5.36,(HJZ)
1gpk,2.10,2002,5.37,(HUP)
1sgu,1.90,2004,5.37,(MK1)
3qt6,2.05,2011,5.37,(2P0)
6eyb,1.90,2018,5.37,(C3Z)
6n0j,1.79,2019,5.37,(K8S)
1g3e,1.80,2001,5.38,(109)
3tif,1.80,2012,5.38,(ADP)
4f7v,1.73,2012,5.38,(J1D)
5mek,1.74,2017,5.38,(A3P)
6olx,1.44,2019,5.38,(KFY)
1qbv,1.80,1999,5.39,(PPX)
2h6b,2.20,2006,5.39,(3C4)
3hkt,2.36,2009,5.39,(2SD)
3m1k,1.35,2010,5.39,(BEW)
4cl6,2.41,2015,5.39,(7SB)
4ej8,2.35,2013,5.39,(1F1)
5chk,2.20,2016,5.39,(55R)
5o9r,1.70,2018,5.39,(9PK)
6ggb,1.32,2019,5.39,(EXQ)
6ggf,1.32,2019,5.39,(EXQ)
6ma2,2.10,2018,5.39,(J9S)
1bp0,2.40,2000,5.40,(UMP)
1f8b,1.80,2001,5.40,(DAN)
1m7i,2.50,2003,5.40,(5-mer)
1mmr,2.40,1996,5.40,(SRS)
1pz5,1.80,2003,5.40,(8-mer)
1r9l,1.59,2004,5.40,(BET)
1trd,2.50,1993,5.40,(PGH)
2c1p,2.00,2006,5.40,(FNZ)
2f35,1.87,2006,5.40,(UBC)
2i80,2.19,2006,5.40,(G1L)
2jdm,1.70,2007,5.40,(MFU)
2qg2,1.80,2008,5.40,(A91)
3b4p,1.70,2008,5.40,(3B4)
4c5d,2.30,2014,5.40,(X0R)
4ij1,1.79,2013,5.40,(17C)
4m3p,1.90,2014,5.40,(HCS)
4ozj,1.45,2014,5.40,(ADP)
4pin,1.90,2014,5.40,(AVI)
5ep7,1.20,2016,5.40,(5QR)
5eqp,2.35,2016,5.40,(5R9)
5fns,1.79,2016,5.40,(XYY)
5jsj,2.35,2017,5.40,(6PD)
5l9o,1.84,2016,5.40,(GOP)
5lsg,2.00,2017,5.40,(QZQ)
5mqe,1.65,2017,5.40,(PKU)
5tef,1.95,2016,5.40,(GTG)
6ny0,1.40,2019,5.40,(LBA)
6r1d,1.10,2019,5.40,(JP5)
2j47,1.98,2006,5.41,(GDV)
4tun,1.93,2014,5.41,(MVH)
4u6z,1.80,2015,5.41,(Q07)
4uma,1.76,2014,5.41,(GZ3)
5cbs,1.80,2015,5.41,(E42)
5u13,1.95,2017,5.41,(YH5)
6mm2,1.04,2019,5.41,(ATP)
2vpo,1.80,2008,5.42,(6CS)
4fev,1.89,2012,5.42,(PP1)
4nxv,2.30,2013,5.42,(GDP)
6hgg,1.79,2019,5.42,(HCY)
3ng4,1.73,2010,5.43,(2-mer)
4f5y,2.40,2012,5.43,(C2E)
4pox,2.29,2014,5.43,(2W2)
1h0a,1.70,2002,5.44,(I3P)
1syi,2.10,2005,5.44,(CPW)
2q6f,2.00,2008,5.44,(6-mer)
2wr8,1.77,2009,5.44,(SAH)
3lp7,2.04,2010,5.44,(HAR)
3u10,2.30,2011,5.44,(CMP)
4dju,1.80,2012,5.44,(0KK)
5ave,1.80,2016,5.44,(SER)
5e3a,2.05,2016,5.44,(5-mer)
5tp0,1.25,2017,5.44,(BRN)
6gnr,1.40,2018,5.44,(6J3)
6n3y,1.80,2019,5.44,(HHJ)
6r1b,2.27,2019,5.44,(CH5)
2iko,1.90,2006,5.45,(7IG)
3mi3,2.38,2010,5.45,(LYS)
1b4h,1.90,1998,5.46,(3-mer)
1q65,2.10,2004,5.46,(BHB)
5mnr,1.25,2017,5.46,(JC2)
5nka,1.38,2017,5.46,(91H)
5txy,1.21,2017,5.46,(7Q1)
6dzx,1.68,2019,5.46,(MED)
6ekq,1.65,2018,5.46,(B0H)
6gdy,2.04,2019,5.46,(AKG)
6nxz,1.75,2019,5.46,(D49)
6t1n,1.95,2019,5.46,(M7Z)
1g7f,1.80,2001,5.47,(INZ)
1gi1,1.42,2002,5.47,(BMZ)
1xh5,2.05,2005,5.47,(R68)
2r0z,2.10,2007,5.47,(6-mer)
2xde,1.40,2010,5.47,(1B0)
4n6g,2.14,2014,5.47,(2GQ)
4n7m,2.12,2013,5.47,(2GQ)
4qb3,.94,2015,5.47,(30M)
5nn5,2.00,2017,5.47,(NOJ)
5u0f,1.21,2017,5.47,(7R1)
6c7w,1.28,2018,5.47,(LMS)
1g85,1.80,2002,5.48,(3OL)
2cbv,1.95,2006,5.48,(CGB)
2zkj,2.00,2008,5.48,(ADP)
3bxe,1.80,2008,5.48,(13P)
3iw6,2.10,2009,5.48,(PP0)
3zdv,1.41,2013,5.48,(F1A-MMA)
4jfm,1.02,2013,5.48,(1KZ)
4kp8,1.80,2013,5.48,(E1G)
4pf5,2.04,2014,5.48,(M3N)
4uc5,2.19,2015,5.48,(PHE)
5aqz,1.65,2016,5.48,(SGV)
5hrw,1.80,2016,5.48,(64E)
6dd0,1.50,2019,5.48,(P9T)
1pot,1.80,1996,5.49,(SPD)
1pyn,2.20,2003,5.49,(941)
2h4k,2.30,2006,5.49,(509)
2o0u,2.10,2007,5.49,(C0M)
2uy5,1.60,2007,5.49,(H35)
3bvb,1.30,2008,5.49,(017)
3ga5,1.87,2009,5.49,(RGG)
3hmp,2.30,2010,5.49,(CX4)
3i73,2.40,2010,5.49,(ADP)
4w9f,2.10,2014,5.49,(3JU)
5avf,1.95,2016,5.49,(TAU)
6g14,1.80,2018,5.49,(G4P)
6qr2,1.55,2019,5.49,(JQB)
3tza,1.90,2011,5.50,(TZG)
3da9,1.80,2009,5.51,(44U)
3kgt,1.95,2010,5.51,(GEN)
4k55,1.91,2013,5.51,(H6P)
4qxo,1.88,2014,5.51,(1YE)
4zba,1.50,2015,5.51,(GDS)
4zgk,2.00,2016,5.51,(4NX)
5cks,2.12,2016,5.51,(52L)
5oa6,1.94,2018,5.51,(9PT)
6dgq,2.45,2019,5.51,(GBV)
6gfz,2.30,2018,5.51,(EXE)
1kc7,2.20,2002,5.52,(PPR)
1oe8,1.65,2003,5.52,(GSH)
1ydr,2.20,1997,5.52,(IQP)
2cht,2.20,1994,5.52,(BAR)
2ydt,1.60,2011,5.52,(EDG-AHR)
3hzm,1.80,2010,5.52,(KDO)
3iog,1.41,2010,5.52,(SDF)
4en4,2.15,2012,5.52,(GT0)
5f08,1.92,2016,5.52,(5TG)
5j1x,2.10,2017,5.52,(AR5)
5mrp,1.90,2017,5.52,(6BC)
5nn6,2.00,2017,5.52,(MIG)
6dgl,1.95,2019,5.52,(GEV)
5dus,1.43,2016,5.53,(APR)
1bjv,1.80,1998,5.54,(GP8)
2olb,1.40,1996,5.54,(3-mer)
2y7i,1.90,2011,5.54,(ARG)
3bxf,1.70,2008,5.54,(FBP)
3jyr,1.75,2010,5.54,(ACR)
3ubd,1.53,2012,5.54,(SL0)
3v78,2.30,2012,5.54,(ET)
4nxu,2.30,2013,5.54,(ADP)
4qij,2.20,2014,5.54,(1HA)
4r4c,1.40,2014,5.54,(3HS)
5a81,2.03,2015,5.54,(78J)
1g3d,1.80,2001,5.55,(108)
1njc,2.50,1996,5.55,(DCM)
1y3n,1.60,2005,5.55,(2-mer)
2iuz,1.95,2006,5.55,(D1H)
3uzj,1.69,2012,5.55,(0CT)
4pqa,1.78,2014,5.55,(X8Z)
5gja,2.10,2017,5.55,(6PC)
5vd3,1.80,2017,5.55,(H8H)
6bs4,2.50,2019,5.55,(AGS)
6ouv,1.94,2019,5.55,(TDK)
4o3f,2.11,2014,5.56,(TZN)
6mxc,1.99,2019,5.56,(5GP)
1jak,1.75,2001,5.57,(IFG)
1njd,2.20,1996,5.57,(UMP)
2nmx,1.55,2007,5.57,(M25)
3bex,1.51,2008,5.57,(PAU)
3coz,2.00,2008,5.57,(54H)
3uxl,2.20,2012,5.57,(CFI)
3vtr,2.50,2013,5.57,(TCG)
6i12,1.65,2019,5.57,(H08)
3jup,1.90,2009,5.58,(AKD)
3su5,1.55,2012,5.58,(SU3)
1f4x,2.30,2000,5.59,(MGS)
1fo0,2.50,2000,5.59,(8-mer)
1mfi,1.80,1999,5.59,(FHC)
3sha,1.52,2012,5.59,(P97)
4bqh,1.75,2013,5.59,(9VU)
4cwn,1.80,2014,5.59,(6LV)
4tkb,.86,2015,5.59,(DAO)
5afv,2.25,2015,5.59,(JH5)
5n9r,2.23,2017,5.59,(8RN)
5t9w,2.00,2017,5.59,(78E)
6fnr,1.83,2018,5.59,(DYT)
6t1o,1.90,2019,5.59,(M82)
1vfn,2.15,1997,5.60,(HPA)
2wca,2.30,2009,5.60,(NP6)
2yhw,1.64,2012,5.60,(BM3)
3bl1,2.10,2008,5.60,(BL1)
3e6y,2.50,2009,5.60,(CW1)
3qps,2.35,2011,5.60,(CHD)
4zzy,2.20,2015,5.60,(D7N)
6h1d,1.94,2019,5.60,(SAH)
3u5j,1.60,2011,5.61,(08H)
6n3v,1.45,2019,5.61,(KB7)
1ejn,1.80,2000,5.62,(AGB)
2bmk,2.30,2006,5.62,(PDD)
3e3c,2.50,2009,5.62,(HHG)
3ip9,1.80,2010,5.62,(ABU)
3ldp,2.20,2011,5.62,(3P1)
3lpl,2.10,2010,5.62,(TDP)
3nes,1.75,2010,5.62,(B72)
4dzy,2.10,2013,5.62,(WJ1)
4iid,2.30,2013,5.62,(NOJ)
4j48,2.10,2013,5.62,(4-mer)
5wgp,1.53,2018,5.62,(AUD)
6h29,1.46,2018,5.62,(FK8)
6j3o,2.11,2019,5.62,(B4L)
3gy3,1.70,2010,5.63,(PNT)
3rf5,2.10,2011,5.63,(FUZ)
5d0c,1.49,2016,5.63,(E0B)
5jq5,1.94,2017,5.63,(I74)
1f57,1.75,2000,5.64,(DCY)
1y3v,1.60,2005,5.64,(UIR)
1z9g,1.70,2005,5.64,(RRT)
2ojg,2.00,2007,5.64,(19A)
2reg,1.90,2008,5.64,(CHT)
3fwv,2.20,2009,5.64,(6-mer)
3n86,1.90,2011,5.64,(RJP)
3s8l,1.71,2011,5.64,(5-mer)
4deu,1.60,2012,5.64,(NAR)
6ets,1.33,2019,5.64,(I1L)
6j0g,1.60,2019,5.64,(H6P)
3q7q,2.30,2011,5.65,(GNP)
1n5r,2.25,2003,5.66,(PRM)
1nhu,2.00,2003,5.66,(153)
2aod,1.40,2006,5.66,(2NC)
